C0,C1,C2,C3,C4,GAP,STATUS,SIZE_OF_POOL
0.01,0.01,0.01,0.01,0.01,0.0,OptimizationStatus.OPTIMAL,10
0.01,0.01,0.01,0.01,0.1,0.0,OptimizationStatus.OPTIMAL,10
0.01,0.01,0.01,0.01,1,0.5941829209456193,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.01,0.1,0.01,0.0,OptimizationStatus.OPTIMAL,10
0.01,0.01,0.01,0.1,0.1,0.6407472833360094,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.01,0.1,1,0.4786059296868014,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.01,1,0.01,0.6111789708406105,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.01,1,0.1,0.6359871901522933,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.01,1,1,0.6438848302722407,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,0.01,0.01,0.4087858719646793,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,0.01,0.1,0.6710816777041938,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,0.01,1,1.0895705521472394,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,0.1,0.01,2.6611315129997282e-05,OptimizationStatus.OPTIMAL,10
0.01,0.01,0.1,0.1,0.1,0.13864495183351866,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,0.1,1,0.6147186147186143,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,1,0.01,0.6390992723972848,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,1,0.1,0.3057452901444873,OptimizationStatus.FEASIBLE,10
0.01,0.01,0.1,1,1,0.6616641111816661,OptimizationStatus.FEASIBLE,10
0.01,0.01,1,0.01,0.01,0.7721637426900583,OptimizationStatus.FEASIBLE,10
0.01,0.01,1,0.01,0.1,0.7496639784946235,OptimizationStatus.FEASIBLE,10
0.01,0.01,1,0.01,1,0.8642473118279569,OptimizationStatus.FEASIBLE,10
0.01,0.01,1,0.1,0.01,0.0,OptimizationStatus.OPTIMAL,8
